Date,Open,High,Low,Close*,Adj Close**,Volume
18-Apr-22,"4,385.63","4,471.03","4,370.30","4,462.21","4,462.21","6,707,270,000"
11-Apr-22,"4,462.64","4,471.00","4,381.34","4,392.59","4,392.59","13,812,410,000"
4-Apr-22,"4,547.97","4,593.45","4,450.04","4,488.28","4,488.28","19,383,860,000"
28-Mar-22,"4,541.09","4,637.30","4,507.57","4,545.86","4,545.86","19,212,230,000"
21-Mar-22,"4,462.40","4,546.03","4,424.30","4,543.06","4,543.06","19,089,240,000"
14-Mar-22,"4,202.75","4,465.40","4,161.72","4,463.12","4,463.12","24,946,690,000"
7-Mar-22,"4,327.01","4,327.01","4,157.87","4,204.31","4,204.31","23,849,630,000"
28-Feb-22,"4,354.17","4,416.78","4,279.54","4,328.87","4,328.87","22,302,830,000"
21-Feb-22,"4,332.74","4,385.34","4,114.65","4,384.65","4,384.65","16,834,460,000"
14-Feb-22,"4,412.61","4,489.55","4,327.22","4,348.87","4,348.87","17,775,970,000"
7-Feb-22,"4,505.75","4,590.03","4,401.41","4,418.64","4,418.64","19,119,200,000"
31-Jan-22,"4,431.79","4,595.31","4,414.02","4,500.53","4,500.53","18,846,100,000"
24-Jan-22,"4,356.32","4,453.23","4,222.62","4,431.85","4,431.85","21,218,590,000"
17-Jan-22,"4,632.24","4,632.24","4,395.34","4,397.94","4,397.94","14,131,200,000"
10-Jan-22,"4,655.34","4,748.83","4,582.24","4,662.85","4,662.85","17,126,800,000"
3-Jan-22,"4,778.14","4,818.62","4,662.74","4,677.03","4,677.03","16,800,900,000"
27-Dec-21,"4,733.99","4,808.93","4,733.99","4,766.18","4,766.18","11,687,720,000"
20-Dec-21,"4,587.90","4,740.74","4,531.10","4,725.79","4,725.79","10,594,350,000"
13-Dec-21,"4,710.30","4,731.99","4,600.22","4,620.64","4,620.64","19,184,960,000"
6-Dec-21,"4,548.37","4,713.57","4,540.51","4,712.02","4,712.02","15,411,530,000"
29-Nov-21,"4,628.75","4,672.95","4,495.12","4,538.43","4,538.43","20,242,840,000"
22-Nov-21,"4,712.00","4,743.83","4,585.43","4,594.62","4,594.62","11,775,840,000"
15-Nov-21,"4,689.30","4,717.75","4,672.78","4,697.96","4,697.96","15,279,660,000"
8-Nov-21,"4,701.48","4,714.92","4,630.86","4,682.85","4,682.85","15,646,510,000"
1-Nov-21,"4,610.62","4,718.50","4,595.06","4,697.53","4,697.53","16,397,220,000"
25-Oct-21,"4,553.69","4,608.08","4,537.36","4,605.38","4,605.38","16,206,040,000"
18-Oct-21,"4,463.72","4,559.67","4,447.47","4,544.90","4,544.90","13,966,070,000"
11-Oct-21,"4,385.44","4,475.82","4,329.92","4,471.37","4,471.37","13,758,090,000"
4-Oct-21,"4,348.84","4,429.97","4,278.94","4,391.34","4,391.34","14,795,520,000"
27-Sep-21,"4,442.12","4,457.30","4,288.52","4,357.04","4,357.04","15,555,390,000"
20-Sep-21,"4,402.95","4,465.40","4,305.91","4,455.48","4,455.48","15,697,030,000"
13-Sep-21,"4,474.81","4,492.99","4,427.76","4,432.99","4,432.99","17,763,120,000"
6-Sep-21,"4,535.38","4,535.38","4,457.66","4,458.58","4,458.58","11,793,790,000"
30-Aug-21,"4,513.76","4,545.85","4,513.76","4,535.43","4,535.43","14,256,180,000"
23-Aug-21,"4,450.29","4,513.33","4,450.29","4,509.37","4,509.37","14,124,930,000"
16-Aug-21,"4,461.65","4,480.26","4,367.73","4,441.67","4,441.67","14,544,990,000"
9-Aug-21,"4,437.77","4,468.37","4,424.74","4,468.00","4,468.00","13,718,270,000"
2-Aug-21,"4,406.86","4,440.82","4,373.00","4,436.52","4,436.52","15,182,090,000"
26-Jul-21,"4,409.58","4,429.97","4,372.51","4,395.26","4,395.26","14,952,430,000"
19-Jul-21,"4,296.40","4,415.18","4,233.13","4,411.79","4,411.79","17,267,170,000"
12-Jul-21,"4,372.41","4,393.68","4,322.53","4,327.16","4,327.16","15,756,840,000"
5-Jul-21,"4,356.46","4,371.60","4,289.37","4,369.55","4,369.55","12,813,860,000"
28-Jun-21,"4,284.90","4,355.43","4,274.67","4,352.34","4,352.34","15,859,180,000"
21-Jun-21,"4,173.40","4,286.12","4,173.40","4,280.70","4,280.70","19,163,010,000"
14-Jun-21,"4,248.31","4,257.16","4,164.40","4,166.45","4,166.45","20,949,640,000"
7-Jun-21,"4,229.34","4,249.74","4,208.41","4,247.44","4,247.44","18,389,070,000"
31-May-21,"4,216.52","4,234.12","4,167.93","4,229.89","4,229.89","17,050,410,000"
24-May-21,"4,170.16","4,218.36","4,170.16","4,204.11","4,204.11","19,443,140,000"
17-May-21,"4,169.92","4,188.72","4,061.41","4,155.86","4,155.86","16,716,150,000"
10-May-21,"4,228.29","4,236.39","4,056.88","4,173.85","4,173.85","17,946,860,000"
3-May-21,"4,191.98","4,238.04","4,128.59","4,232.60","4,232.60","21,049,220,000"
26-Apr-21,"4,185.03","4,218.78","4,174.85","4,181.17","4,181.17","19,777,170,000"
19-Apr-21,"4,179.80","4,194.17","4,118.38","4,180.17","4,180.17","19,795,190,000"
12-Apr-21,"4,124.71","4,191.31","4,114.82","4,185.47","4,185.47","19,468,590,000"
5-Apr-21,"4,034.44","4,129.48","4,034.44","4,128.80","4,128.80","19,677,100,000"
29-Mar-21,"3,969.31","4,020.63","3,943.25","4,019.87","4,019.87","17,439,630,000"
22-Mar-21,"3,916.48","3,978.19","3,853.50","3,974.54","3,974.54","24,132,360,000"
15-Mar-21,"3,942.96","3,983.87","3,886.75","3,913.10","3,913.10","25,796,900,000"
8-Mar-21,"3,844.39","3,960.27","3,819.25","3,943.34","3,943.34","26,945,080,000"
1-Mar-21,"3,842.51","3,914.50","3,723.34","3,841.94","3,841.94","30,700,830,000"
22-Feb-21,"3,885.55","3,928.65","3,789.54","3,811.15","3,811.15","31,119,200,000"
15-Feb-21,"3,939.61","3,950.43","3,885.03","3,906.71","3,906.71","19,353,010,000"
8-Feb-21,"3,892.59","3,937.23","3,884.94","3,934.83","3,934.83","22,694,360,000"
1-Feb-21,"3,731.17","3,894.56","3,725.62","3,886.83","3,886.83","25,430,390,000"
25-Jan-21,"3,851.68","3,870.90","3,694.12","3,714.24","3,714.24","36,413,520,000"
18-Jan-21,"3,781.88","3,861.45","3,780.37","3,841.47","3,841.47","19,099,620,000"
11-Jan-21,"3,803.14","3,823.60","3,749.62","3,768.25","3,768.25","24,551,330,000"
4-Jan-21,"3,764.61","3,826.69","3,662.71","3,824.68","3,824.68","25,484,320,000"
28-Dec-20,"3,723.03","3,760.20","3,723.03","3,756.07","3,756.07","13,232,200,000"
21-Dec-20,"3,684.28","3,711.24","3,636.48","3,703.06","3,703.06","14,413,820,000"
14-Dec-20,"3,675.27","3,726.70","3,645.84","3,709.41","3,709.41","24,265,420,000"
7-Dec-20,"3,694.73","3,712.39","3,633.40","3,663.46","3,663.46","23,533,560,000"
30-Nov-20,"3,634.18","3,699.20","3,594.39","3,699.12","3,699.12","26,902,810,000"
23-Nov-20,"3,566.82","3,644.31","3,552.77","3,638.35","3,638.35","18,984,870,000"
16-Nov-20,"3,600.16","3,628.51","3,543.84","3,557.54","3,557.54","23,922,170,000"
9-Nov-20,"3,583.04","3,645.99","3,511.91","3,585.15","3,585.15","28,790,600,000"
2-Nov-20,"3,296.20","3,529.05","3,279.74","3,509.44","3,509.44","22,988,840,000"
26-Oct-20,"3,441.42","3,441.42","3,233.94","3,269.96","3,269.96","22,808,450,000"
19-Oct-20,"3,493.66","3,502.42","3,415.34","3,465.39","3,465.39","19,895,410,000"
12-Oct-20,"3,500.02","3,549.85","3,440.89","3,483.81","3,483.81","19,268,280,000"
5-Oct-20,"3,367.27","3,482.34","3,354.54","3,477.14","3,477.14","19,733,380,000"
28-Sep-20,"3,333.90","3,397.18","3,323.69","3,348.42","3,348.42","20,352,550,000"
21-Sep-20,"3,285.57","3,323.35","3,209.45","3,298.46","3,298.46","21,547,840,000"
14-Sep-20,"3,363.56","3,428.92","3,292.40","3,319.47","3,319.47","24,034,260,000"
7-Sep-20,"3,371.88","3,425.55","3,310.47","3,340.97","3,340.97","16,483,130,000"
31-Aug-20,"3,509.73","3,588.11","3,349.63","3,426.96","3,426.96","22,040,710,000"
24-Aug-20,"3,418.09","3,509.23","3,413.13","3,508.01","3,508.01","18,887,790,000"
17-Aug-20,"3,380.86","3,399.96","3,354.69","3,397.16","3,397.16","18,785,350,000"
10-Aug-20,"3,356.04","3,387.89","3,326.44","3,372.85","3,372.85","20,016,990,000"
3-Aug-20,"3,288.26","3,352.54","3,284.53","3,351.28","3,351.28","22,369,880,000"
27-Jul-20,"3,219.84","3,272.17","3,204.13","3,271.12","3,271.12","22,039,370,000"
20-Jul-20,"3,224.29","3,279.99","3,200.05","3,215.63","3,215.63","20,959,710,000"
13-Jul-20,"3,205.08","3,238.28","3,127.66","3,224.73","3,224.73","21,991,770,000"
6-Jul-20,"3,155.29","3,186.82","3,115.70","3,185.04","3,185.04","23,572,210,000"
