Date,Open,High,Low,Close*,Adj Close**,Volume
27-Jan-22,"4,380.58","4,428.74","4,309.50","4,326.51","4,326.51","4,074,330,000"
26-Jan-22,"4,408.43","4,453.23","4,304.80","4,349.93","4,349.93","4,046,270,000"
25-Jan-22,"4,366.64","4,411.01","4,287.11","4,356.45","4,356.45","3,989,420,000"
24-Jan-22,"4,356.32","4,417.35","4,222.62","4,410.13","4,410.13","5,172,540,000"
21-Jan-22,"4,471.38","4,494.52","4,395.34","4,397.94","4,397.94","3,945,810,000"
20-Jan-22,"4,547.35","4,602.11","4,477.95","4,482.73","4,482.73","3,473,060,000"
19-Jan-22,"4,588.03","4,611.55","4,530.20","4,532.76","4,532.76","3,387,370,000"
18-Jan-22,"4,632.24","4,632.24","4,568.70","4,577.11","4,577.11","3,324,960,000"
14-Jan-22,"4,637.99","4,665.13","4,614.75","4,662.85","4,662.85","3,483,530,000"
13-Jan-22,"4,733.56","4,744.13","4,650.29","4,659.03","4,659.03","3,539,830,000"
12-Jan-22,"4,728.59","4,748.83","4,706.71","4,726.35","4,726.35","3,060,040,000"
11-Jan-22,"4,669.14","4,714.13","4,638.27","4,713.07","4,713.07","3,421,600,000"
10-Jan-22,"4,655.34","4,673.02","4,582.24","4,670.29","4,670.29","3,621,800,000"
7-Jan-22,"4,697.66","4,707.95","4,662.74","4,677.03","4,677.03","3,279,870,000"
6-Jan-22,"4,693.39","4,725.01","4,671.26","4,696.05","4,696.05","3,371,250,000"
5-Jan-22,"4,787.99","4,797.70","4,699.44","4,700.58","4,700.58","3,733,540,000"
4-Jan-22,"4,804.51","4,818.62","4,774.27","4,793.54","4,793.54","3,641,050,000"
3-Jan-22,"4,778.14","4,796.64","4,758.17","4,796.56","4,796.56","2,775,190,000"
31-Dec-21,"4,775.21","4,786.83","4,765.75","4,766.18","4,766.18","2,446,190,000"
30-Dec-21,"4,794.23","4,808.93","4,775.33","4,778.73","4,778.73","2,390,990,000"
29-Dec-21,"4,788.64","4,804.06","4,778.08","4,793.06","4,793.06","2,369,370,000"
28-Dec-21,"4,795.49","4,807.02","4,780.04","4,786.35","4,786.35","2,217,050,000"
27-Dec-21,"4,733.99","4,791.49","4,733.99","4,791.19","4,791.19","2,264,120,000"
23-Dec-21,"4,703.96","4,740.74","4,703.96","4,725.79","4,725.79","2,194,630,000"
22-Dec-21,"4,650.36","4,697.67","4,645.53","4,696.56","4,696.56","2,439,570,000"
21-Dec-21,"4,594.96","4,651.14","4,583.16","4,649.23","4,649.23","2,564,370,000"
20-Dec-21,"4,587.90","4,587.90","4,531.10","4,568.02","4,568.02","3,395,780,000"
17-Dec-21,"4,652.50","4,666.70","4,600.22","4,620.64","4,620.64","5,609,780,000"
16-Dec-21,"4,719.13","4,731.99","4,651.89","4,668.67","4,668.67","3,592,810,000"
15-Dec-21,"4,636.46","4,712.60","4,611.22","4,709.85","4,709.85","3,367,580,000"
14-Dec-21,"4,642.99","4,660.47","4,606.52","4,634.09","4,634.09","3,292,740,000"
13-Dec-21,"4,710.30","4,710.30","4,667.60","4,668.97","4,668.97","3,322,050,000"
10-Dec-21,"4,687.64","4,713.57","4,670.24","4,712.02","4,712.02","2,858,310,000"
9-Dec-21,"4,691.00","4,695.26","4,665.98","4,667.45","4,667.45","2,851,660,000"
8-Dec-21,"4,690.86","4,705.06","4,674.52","4,701.21","4,701.21","3,061,550,000"
7-Dec-21,"4,631.97","4,694.04","4,631.97","4,686.75","4,686.75","3,334,320,000"
6-Dec-21,"4,548.37","4,612.60","4,540.51","4,591.67","4,591.67","3,305,690,000"
3-Dec-21,"4,589.49","4,608.03","4,495.12","4,538.43","4,538.43","3,971,500,000"
2-Dec-21,"4,504.73","4,595.46","4,504.73","4,577.10","4,577.10","3,771,510,000"
1-Dec-21,"4,602.82","4,652.94","4,510.27","4,513.04","4,513.04","4,078,260,000"
30-Nov-21,"4,640.25","4,646.02","4,560.00","4,567.00","4,567.00","4,950,190,000"
29-Nov-21,"4,628.75","4,672.95","4,625.26","4,655.27","4,655.27","3,471,380,000"
26-Nov-21,"4,664.63","4,664.63","4,585.43","4,594.62","4,594.62","2,676,740,000"
